PROJECT_ID,COMMIT_HASH,LINES_ADDED,LINES_REMOVED,num_commit,lines_added_last_commits,lines_removed_last_commits
org.apache:archiva,ce50b0d6e3cf14395bfc3e4749fe3fc7b03cab75,54,12,7752,438,190
org.apache:archiva,936fe55580751c139f7cf318c12adc53da63ea7e,405,31,7959,321,103
org.apache:archiva,3332f36a12526d3d9ab0f9392ea5c420f6618e2d,112,67,8216,722,131
org.apache:archiva,8042e19982a736e90f81689182ec209b48d90c86,127,29,8295,759,171
org.apache:archiva,b8c79cf8c6357094c957426865f934e163b49c7a,6,7,8296,727,142
org.apache:archiva,c6db5dad33e4e93a5eb48cdc0c6ef47f1b625266,10,8,8336,704,146
org.apache:archiva,043a336aa51e38a72cf297e9359c174cab8a839c,94,17,8421,660,142
org.apache:archiva,49157f1525fd64a51db6a30d5b0e59eda61e7c9f,89,26,8526,349,128
org.apache:archiva,ed1fe1cb4cbf5bed3de88a226a3939dff47fbb42,33,82,8615,326,87
org.apache:archiva,293bd8e2f2a05b9c5475bb471996a002caf597b0,83,15,8620,232,140
org.apache:archiva,2a5c2bb81a01346573cf298e9b285747cf9a31ca,88,20,8667,309,148
org.apache:archiva,9076b869b338749e4bec6e8cc89ca176cf079086,76,46,8736,387,160
org.apache:archiva,23de2a49fb4500db8a5f76b017ab6e22e970b8f4,116,107,8988,369,189
org.apache:archiva,13c799574c26123f1d469acfa242893d34002bfa,11,13,8996,396,270
org.apache:archiva,6114332b911dea3003c7cbcd24f9579a65c5a280,73,90,9144,374,201
org.apache:archiva,8b19e8e2abffe24fdc4860a60539b965b571574f,85,57,9180,364,276
org.apache:archiva,e01a96d5f4ecea12128ae465136014631f80d151,438,324,9375,361,313
org.apache:archiva,f4330d5248c89f5902bf6a9e53ff6ee8e9278c64,86,27,9450,723,591
org.apache:archiva,ebe7941ce08323fbd63e6d0d39c31e932b7a7e65,40,9,9856,693,511
org.apache:archiva,a7bf8292c3a3b1951bd07fa9337fbb3394426f5e,124,3,10206,722,507
org.apache:archiva,3e55adbce6c2196b78b87b997e15d7a246572d19,588,80,10284,773,420
org.apache:archiva,ac7cb9e9ce33fbbbf4a01ac5a4da3b6e1b0111ef,174,29,10470,1276,443
org.apache:archiva,9077dbddcd8788b8aa8befedea003d5cc1f9523a,15,2,10545,1012,148
org.apache:archiva,bf565c3f3a5d59112794a9db994d00c9dc800f49,202,16,10576,941,123
org.apache:archiva,82d6d72490f392fe5518d170f8f58199392810ae,16,14,10677,1103,130
org.apache:archiva,f2dbfdf0a8f6d5992055629aa0620a6294849c61,10,10,10689,995,141
org.apache:archiva,ac051c8acd6f89fce920463cce1b34ba1df7af18,144,146,10812,417,71
org.apache:archiva,b07a8c9aac8945961c1d699699dcfe732017a0c0,111,48,11046,387,188
org.apache:archiva,2459cfd7a81e3de12a6e734a313ce53374e55b2b,46,19,11154,483,234
org.apache:archiva,b2837be655860c80da1137a86b9f16788ba4eff7,8,4,11385,327,237
org.apache:archiva,fcd43810f5a86f3fb2bdeb49aff5e869e46fc8fe,250,127,11416,319,227
org.apache:archiva,650c56007ba781442ed781062e0d6727ab535cc8,194,82,11502,559,344
org.apache:archiva,0e588344064c6ea4248950f563c4e3797b1f45e2,102,28,11828,609,280
org.apache:archiva,e0d19c4d9744caa54342eeb079b7f67ff11526c7,736,106,11830,600,260
org.apache:archiva,70fc5323d6b52c1f2000e4ea6a68fbc46f5e9b94,52,50,11836,1290,347
org.apache:archiva,93f9e26408d1fb72a22e31cb19640cdca2de2e9f,159,54,11848,1334,393
org.apache:archiva,ff44aa71b4502ef0c49ecdb6c0eac582a0041418,44,18,11916,1243,320
org.apache:archiva,d6c33feff12568218e694f0bf9a421fa19cb1914,54,51,12164,1093,256
org.apache:archiva,ced10f5fa5deb8552b70ac85433022f2eecd13ff,361,246,12308,1045,279
org.apache:archiva,e4ca7d18c02f909e6c8e448587c7a904b29046af,267,174,12384,670,419
org.apache:archiva,13d43afbfe8c553d105b65480b9857add7399271,62,10,12580,885,543
org.apache:archiva,5622b1c569c95da04ebca1d8a26b967cd932bddd,291,240,12620,788,499
org.apache:archiva,25bc854985e1cac10e356155886f3289df1afbe9,248,59,12696,1035,721
org.apache:archiva,6ee23e63a9a37720164d4d7b91862b8d8f573a70,462,94,12705,1229,729
org.apache:archiva,84e5e12ca820af1557ad20c67bcb8fc4b69184aa,412,68,12727,1330,577
org.apache:archiva,f9ec1845034f447d51b40cf5f9f0797b803b3b57,4,3,12780,1475,471
org.apache:archiva,20b3d982cff0b4f5c80b0a57e3ae247866035de1,70,110,12810,1417,464
org.apache:archiva,f48d71800f1a9e04977a710789b018f95a58d6be,13,13,13026,1196,334
org.apache:archiva,bcf944afb63e21ffe187304382136b45c7ee49db,62,17,13044,961,288
org.apache:archiva,ea8c1fa4c9456e1061b470e14de69aeb350d8513,483,16,13145,561,211
org.apache:archiva,f4c55ef0d481d98d7bccacf44b03ff8b3ff73f95,48,31,13206,632,159
org.apache:archiva,7da05e7cd45d8314072a2d1f8829abd78435a0bc,196,15,13404,676,187
org.apache:archiva,185d83243cec5bf5f26755c10fc8bcf5f925b6fb,138,7,13460,802,92
org.apache:archiva,fa22abb913579d8c69f2a46161328700e7238748,139,74,13580,927,86
org.apache:archiva,6405f2be6b0a75879dc1ec800ccc41e4f552f2bd,99,42,13810,1004,143
org.apache:archiva,05d2784124cb48259973715da6db1e32840a574d,61,55,13820,620,169
org.apache:archiva,9c0bce139077a7b063c72421abf02fed40682a1e,15,8,13860,633,193
org.apache:archiva,a52072ec9dd74178cef5cbfcc4a796e1d811a95d,11,11,14148,452,186
org.apache:archiva,cb96e18f97711202e3c33a00aca2095a02b582a1,120,148,14175,325,190
org.apache:archiva,d111b2f894fb328cfc64aeb1e1507c43dfda5efa,45,27,14320,306,264
org.apache:archiva,d8042e19b0c349f522dd9e91f2f388f6ede11077,244,156,14420,252,249
org.apache:archiva,82699368831d402d9e9ef9833d4c3c5af378a462,63,1,14496,435,350
org.apache:archiva,9822a37199502408b0c6571e19bd6a7958f241ab,84,6,14628,483,343
org.apache:archiva,146c63dd72a742fe38fa5f19f0e55a793f9d33e3,171,162,14712,556,338
org.apache:archiva,915ef10186e2e7fa348d334730c4b733121747c3,85,29,14836,607,352
org.apache:archiva,d6ddac89f31929a0e699aca7ec8a5ccdf51a532a,219,7,15029,647,354
org.apache:archiva,d225667efd86b18d41736f0e21c9f8734ef63f7d,492,528,15080,622,205
org.apache:archiva,e641f56dfde7a7bd530b3de19f672607804f5eae,833,1061,15120,1051,732
org.apache:archiva,10a695532ec4e976adf434aeb8ceba876bafc6df,0,0,15249,1800,1787
org.apache:archiva,8c89b78a39836b565b2ebaf8074787570355aa1e,0,0,15275,1629,1625
org.apache:archiva,4c5672c59eca64aaf38a7fd0bbc098d18289fea3,731,663,15290,1544,1596
org.apache:archiva,ff06852acdea7695d44b926df0ee796197dfcda9,53,24,15312,2056,2252
org.apache:archiva,8f4f8c83e98fbf9d08979effe56b2ec17a2669ba,403,19,15405,1617,1748
org.apache:archiva,701f790c5923bface268a11a6b93cecfbe94a05a,1435,150,15720,1187,706
org.apache:archiva,488303a9e8388529e99d384b00461d460c4a3d3a,231,98,15730,2622,856
org.apache:archiva,7e5d667be32272e83b828c3c89ae927265065bbf,1679,379,15960,2853,954
org.apache:archiva,7db1bd8f9daa95841488d049a9fe62310d6fcee3,280,677,16016,3801,670
org.apache:archiva,6ec22c4cb2d3e72f638ad705d390c7142b45e808,51,10,16079,4028,1323
org.apache:archiva,609cdaabe92329994246cce852e80b4f14d61459,107,256,16548,3676,1314
org.apache:archiva,b15c784a54f845c4ef6f9c357f3aea3b8f9cb8cf,111,46,16807,2348,1420
org.apache:archiva,eefd1aa8853e2b2d3ba1d871414c4985220ecb9b,4,4,16840,2228,1368
